name,parent_name,is_default,is_admin,description,access
admin,,0,1,Global application administrator,(i) Modify the role of any user (ii) Has a total and global access to all events
user,admin,1,0,User of the application,(i) Modify its account data (ii) (i) Create a new event and obtain an admin role on it
